Team,Name,From,To,P,W,D,L
Bolton,Tom Rawthorne,1 August 1874,31 May 1885,13,6,4,3
Bolton,"[u'Bentley, John', u'John Bentley']",1 August 1885,31 May 1886,3,1,1,1
Bolton,William Struthers,1 August 1886,31 May 1887,3,2,0,1
Bolton,Fitzroy Norris,1 August 1887,1 December 1887,3,0,2,1
Bolton,"[u'Bentley, John', u'John Bentley']",1 December 1887,31 May 1895,200,89,25,86
Bolton,Harry Downs,1 August 1895,31 May 1896,35,19,6,10
Bolton,Frank Brettell,1 August 1896,31 May 1898,68,26,13,29
Bolton,"[u'Somerville, John', u'John Somerville']",1 August 1898,1 January 1910,438,192,77,169
Bolton,"[u'Settle, Will', u'Will Settle']",1 January 1910,31 May 1915,224,97,46,81
Bolton,"[u'Mather, Tom', u'Tom Mather']",1 August 1915,31 May 1919,0,0,0,0
Bolton,"[u'Foweraker, Charles', u'Charles Foweraker']",1 July 1919,1 August 1944,912,373,231,308
Bolton,"[u'Rowley, Walter', u'Walter Rowley']",1 August 1944,1 October 1950,197,64,44,89
Bolton,"[u'Ridding, Bill', u'Bill Ridding']",1 October 1950,1 August 1968,767,290,184,293
Bolton,"[u'Lofthouse, Nat', u'Nat Lofthouse']",1 December 1968,1 November 1970,81,22,23,36
Bolton,"[u'McIlroy, Jimmy', u'Jimmy McIlroy']",1 November 1970,19 November 1970,2,0,0,2
Bolton,"[u'Meadows, Jimmy', u'Jimmy Meadows']",13 January 1971,30 April 1971,16,1,4,11
Bolton,"[u'Lofthouse, Nat', u'Nat Lofthouse']",1 May 1971,1 August 1971,0,0,0,0
Bolton,"[u'Armfield, Jimmy', u'Jimmy Armfield']",1 August 1971,4 October 1974,180,80,47,53
Bolton,"[u'Greaves, Ian', u'Ian Greaves']",7 October 1974,28 January 1980,230,90,66,74
Bolton,"[u'Anderson, Stan', u'Stan Anderson']",28 January 1980,31 May 1981,62,18,17,27
Bolton,"[u'Mulhall, George', u'George Mulhall']",1 June 1981,1 June 1982,42,13,7,22
Bolton,"[u'McGovern, John', u'John McGovern']",1 June 1982,7 January 1985,118,37,26,55
Bolton,"[u'Wright, Charlie', u'Charlie Wright']",7 February 1985,6 December 1985,44,11,8,25
Bolton,"[u'Neal, Phil', u'Phil Neal']",18 December 1985,8 May 1992,351,132,116,103
Bolton,"[u'Rioch, Bruce', u'Bruce Rioch']",29 May 1992,8 June 1995,172,83,42,47
Bolton,"[u'McFarland, Roy', u'Roy McFarland']",20 June 1995,2 January 1996,28,5,16,7
Bolton,"[u'Todd, Colin', u'Colin Todd']",2 January 1996,22 September 1999,183,79,51,53
Bolton,"[u'Allardyce, Sam', u'Sam Allardyce']",19 October 1999,29 April 2007,370,153,114,103
Bolton,"[u'Lee, Sammy', u'Sammy Lee']",30 April 2007,7 October 2007,14,3,7,4
Bolton,"[u'Megson, Gary', u'Gary Megson']",25 October 2007,30 December 2009,97,27,45,26
Bolton,"[u'Coyle, Owen', u'Owen Coyle']",8 January 2010,9 October 2012,126,42,24,60
Bolton,"[u'Freedman, Dougie', u'Dougie Freedman']",23 October 2012,3 October 2014,94,33,32,29
Bolton,"[u'Lennon, Neil', u'Neil Lennon']",12 October 2014,Present,50,14,16,20
