Name,From,To,Matches,Won,Drawn,Lost
"[u'Campbell, Robert', u'Robert Campbell']",20 June 1903,31 October 1905,79,29,18,32
"[u""O'Rourke, Peter"", u""Peter O'Rourke""]",1 November 1905,30 June 1921,497,204,121,172
"[u'Menzies, David', u'David Menzies']",1 July 1921,1 June 1926,222,63,64,95
"[u'Veitch, Colin', u'Colin Veitch']",1 August 1926,14 January 1928,65,14,17,34
"[u'Foster, Jack', u'Jack Foster']",14 January 1928,5 May 1928,19,10,4,5
"[u""O'Rourke, Peter"", u""Peter O'Rourke""]",6 May 1928,1 May 1930,92,43,22,27
"[u'Peart, Jack', u'Jack Peart']",1 July 1930,1 March 1935,208,79,52,77
"[u'Ray, Dick', u'Dick Ray']",1 April 1935,28 February 1937,86,27,23,36
"[u'Westgarth, Fred', u'Fred Westgarth']",1 March 1938,1 July 1943,56,26,14,16
"[u'Sharp, Bob', u'Bob Sharp']",1 July 1943,1 May 1946,2,0,1,1
"[u'Barker, Jack', u'Jack Barker']",1 May 1946,1 January 1947,23,10,6,7
"[u'Milburn, Jack', u'Jack Milburn']",1 January 1947,1 July 1948,64,26,14,24
"[u'Steele, David', u'David Steele']",1 July 1948,1 February 1952,167,57,34,76
"[u'Harris, Albert', u'Albert Harris']",1 February 1952,1 May 1952,17,5,4,8
"[u'Powell, Ivor', u'Ivor Powell']",1 May 1952,1 February 1955,129,46,38,45
"[u'Jackson, Peter', u'Peter Jackson']",1 February 1955,1 March 1961,305,118,80,107
"[u'Brocklebank, Bob', u'Bob Brocklebank']",1 May 1961,1 October 1964,157,62,30,65
"[u'Harris, Bill', u'Bill Harris']",1 March 1965,31 March 1966,45,15,9,21
"[u'Watson, Willie', u'Willie Watson']",1 April 1966,1 January 1967,128,51,37,40
"[u'Hair, Grenville', u'Grenville Hair']",1 January 1967,7 March 1968,55,27,10,18
"[u'Jim\xa0McAnearney', u'\n', u'Tom Hallett']",7 March 1968,31 May 1968,12,5,5,2
"[u'Wheeler, Jimmy', u'Jimmy Wheeler']",1 June 1968,7 September 1971,144,49,46,49
"[u'Wilson, Ray', u'Ray Wilson']",1 September 1971,1 November 1971,10,5,2,3
"[u'Edwards, Bryan', u'Bryan Edwards']",1 November 1971,17 January 1975,154,51,38,65
"[u'Kennedy, Bobby', u'Bobby Kennedy']",1 January 1975,31 January 1978,138,46,46,46
"[u'Napier, John', u'John Napier']",1 February 1978,31 October 1978,34,11,5,18
"[u'Mulhall, George', u'George Mulhall']",1 November 1978,1 March 1981,115,48,33,34
"[u'McFarland, Roy', u'Roy McFarland']",1 May 1981,22 November 1982,64,35,16,13
"[u'Cherry, Trevor', u'Trevor Cherry']",1 December 1982,5 January 1987,201,83,44,74
"[u'Dolan, Terry', u'Terry Dolan']",5 January 1987,30 January 1989,112,51,30,31
"[u'Yorath, Terry', u'Terry Yorath']",2 February 1989,7 March 1990,57,13,20,24
"[u'Docherty, John', u'John Docherty']",20 March 1990,11 November 1991,83,29,22,32
"[u'Stapleton, Frank', u'Frank Stapleton']",9 December 1991,2 May 1994,129,47,43,39
"[u'Lawrence, Lennie', u'Lennie Lawrence']",25 May 1994,27 November 1995,77,29,20,28
"[u'Kamara, Chris', u'Chris Kamara']",27 November 1995,6 January 1998,112,40,26,46
"[u'Jewell, Paul', u'Paul Jewell']",6 January 1998,18 June 2000,117,46,26,45
"[u'Hutchings, Chris', u'Chris Hutchings']",18 June 2000,6 November 2000,21,7,4,10
"[u'McCall, Stuart', u'Stuart McCall']",6 November 2000,20 November 2000,2,0,0,2
"[u'Jefferies, Jim', u'Jim Jefferies']",20 November 2000,24 December 2001,53,15,12,26
"[u'Smith, Steve', u'Steve Smith']",24 December 2001,31 December 2001,2,0,0,2
"[u'Law, Nicky', u'Nicky Law']",1 January 2002,9 November 2003,87,23,21,43
Senior players,9 November 2003,23 November 2003,1,0,0,1
"[u'Robson, Bryan', u'Bryan Robson']",24 November 2003,17 June 2004,28,7,1,20
"[u'Todd, Colin', u'Colin Todd']",18 June 2004,12 February 2007,139,44,46,49
"[u'Wetherall, David', u'David Wetherall']",12 February 2007,22 May 2007,14,2,4,8
"[u'McCall, Stuart', u'Stuart McCall']",22 May 2007,8 Feb 2010,133,46,35,52
"[u'Jacobs, Wayne', u'Wayne Jacobs']",8 Feb 2010,16 Feb 2010,1,0,1,0
"[u'Taylor, Peter', u'Peter Taylor']",17 Feb 2010,26 Feb 2011,25,10,5,10
"[u'Jackson, Peter Allan', u'Peter Allan Jackson']",27 Feb 2011,25 Aug 2011,19,4,4,11
"[u'Cooper, Colin', u'Colin Cooper']",25 Aug 2011,29 Aug 2011,2,1,1,0
"[u'Parkinson, Phil', u'Phil Parkinson']",29 Aug 2011,Present,196,68,62,66
