Name,From,To,P,W,D,L
"[u'Stanley, William', u'William Stanley']",1883,1885,[],[],[],[]
"[u'Hathaway, Harry', u'Harry Hathaway']",1885,1887,[],[],[],[]
"[u'Morgan, J.G.', u'J.G. Morgan']",1887,1892,[],[],[],[]
"[u'Kirk, Teddy', u'Teddy Kirk']",1893,1893,[],[],[],[]
"[u'Maley, George', u'George Maley']",1893,1893,[],[],[],[]
"[u'Collins, Joe', u'Joe Collins']",1893,1895,[],[],[],[]
"[u'Cashmore, Tom', u'Tom Cashmore']",1895,1900,[],[],[],[]
"[u'Newhall, Ben', u'Ben Newhall']",1900,1902,[],[],[],[]
"[u""O'Shea, Michael"", u""Michael O'Shea""]",1902,1905,[],[],[],[]
"[u'Beaman, Joe', u'Joe Beaman']",1905,1908,[],[],[],[]
"[u'Harris, Walter', u'Walter Harris']",1908,1909,[],[],[],[]
"[u'Buckle, Harry', u'Harry Buckle']",1909,1911,[],[],[],[]
"[u'Wallace, Robert', u'Robert Wallace']",1911,1914,[],[],[],[]
"[u'Scott-Walford, Frank', u'Frank Scott-Walford']",1914,1915,[],[],[],[]
"[u'Howard, H.', u'H. Howard']",1915,1916,[],[],[],[]
"[u'Clayton, William', u'William Clayton']",January 1917,October 1919,11,0,2,9
"[u'Pollitt, Harry', u'Harry Pollitt']",October 1919,June 1920,44,9,12,23
"[u'Evans, Albert', u'Albert Evans']",June 1920,November 1924,181,54,44,83
"[u'Kerr, James', u'James Kerr']",July 1925,February 1928,157,51,28,78
"[u'McIntyre, Jimmy', u'Jimmy McIntyre']",June 1928,February 1931,118,47,29,42
"[u'Storer, Harry', u'Harry Storer']",June 1931,June 1945,354,167,79,108
"[u'Bayliss, Dick', u'Dick Bayliss']",June 1945,April 1947,30,10,10,10
"[u'Frith, Billy', u'Billy Frith']",June 1947,November 1948,76,27,19,30
"[u'Storer, Harry', u'Harry Storer', u' (2)']",November 1948,November 1953,230,88,49,93
"[u'Fairbrother, Jack', u'Jack Fairbrother']",January 1954,October 1954,37,15,7,15
"[u'Carver, Jesse', u'Jesse Carver']",June 1955,December 1955,72,27,16,29
"[u'Raynor, George', u'George Raynor']",January 1956,June 1956,19,6,5,8
"[u'Warren, Harry', u'Harry Warren']",June 1956,September 1957,50,17,13,20
"[u'Frith, Billy', u'Billy Frith', u' (2)']",September 1957,November 1961,211,84,53,74
"[u'Hill, Jimmy', u'Jimmy Hill']",December 1961,May 1967,282,125,82,75
"[u'Cantwell, Noel', u'Noel Cantwell']",October 1967,March 1972,213,69,61,83
"[u'Mercer, Joe', u'Joe Mercer']",June 1972,July 1974,90,29,39,22
"[u'Milne, Gordon', u'Gordon Milne']",June 1974,May 1981,436,150,121,165
"[u'Sexton, Dave', u'Dave Sexton']",May 1981,May 1983,96,30,24,42
"[u'Gould, Bobby', u'Bobby Gould']",May 1983,December 1984,72,21,18,33
"[u'Mackay, Don', u'Don Mackay']",December 1984,April 1986,67,22,12,33
"[u'Curtis, George', u'George Curtis']",April 1986,May 1987,56,28,13,15
"[u'Sillett, John', u'John Sillett']",May 1987,November 1990,150,56,39,55
"[u'Butcher, Terry', u'Terry Butcher']",15 November 1990,6 January 1992,60,20,14,26
"[u'Gould, Bobby', u'Bobby Gould', u' (2)']",June 1992,December 1993,59,18,19,22
"[u'Neal, Phil', u'Phil Neal']",23 October 1993,14 February 1995,67,21,20,26
"[u'Atkinson, Ron', u'Ron Atkinson']",February 1995,November 1996,74,19,28,27
"[u'Strachan, Gordon', u'Gordon Strachan']",5 November 1996,10 September 2001,214,70,54,90
"[u'Nilsson, Roland', u'Roland Nilsson']",September 2001,16 April 2002,43,19,6,18
"[u'McAllister, Gary', u'Gary McAllister']",24 April 2002,11 December 2003,76,21,26,29
"[u'Black, Eric', u'Eric Black']",15 January 2004,4 May 2004,22,10,4,8
"[u'Reid, Peter', u'Peter Reid']",6 May 2004,6 January 2005,31,10,8,13
"[u'Adams, Micky', u'Micky Adams']",23 January 2005,17 January 2007,99,33,26,40
"[u'Dowie, Iain', u'Iain Dowie']",19 February 2007,11 February 2008,49,20,8,21
"[u'Coleman, Chris', u'Chris Coleman']",19 February 2008,4 May 2010,117,34,47,36
"[u'Boothroyd, Aidy', u'Aidy Boothroyd']",20 May 2010,14 March 2011,39,12,8,19
"[u'Thorn, Andy', u'Andy Thorn']",14 March 2011,26 August 2012,49,9,15,25
"[u'Robins, Mark', u'Mark Robins']",19 September 2012,14 February 2013,33,17,6,10
"[u'Pressley, Steven', u'Steven Pressley']",8 March 2013,23 February 2015,100,32,30,38
"[u'Mowbray, Tony', u'Tony Mowbray']",3 March 2015,[],36,16,12,8
