Team,Name,From,To,P,W,D,L
DerbyCounty,Harry Newbould,1 August 1896,31 July 1906,81,144,40.16,38.3
DerbyCounty,Jimmy Methven,1 August 1906,30 June 1922,117,179,40.56,35.94
DerbyCounty,Cecil Potter,1 July 1922,31 July 1925,34,41,45.26,29.93
DerbyCounty,George Jobey,1 August 1925,1 May 1941,140,216,43.4,34.34
DerbyCounty,Ted Magner,1 August 1944,31 May 1946,2,0,81.82,0.0
DerbyCounty,Stuart McMillan,1 January 1946,1 November 1953,73,127,42.2,36.71
DerbyCounty,Jack Barker,1 November 1953,1 April 1955,16,36,18.75,56.25
DerbyCounty,"Harry Storer, Jr.",1 June 1955,31 May 1962,67,118,41.27,35.54
DerbyCounty,Tim Ward,1 June 1962,31 May 1967,59,88,32.88,40.18
DerbyCounty,Brian Clough,1 June 1967,15 October 1973,70,84,46.71,29.07
DerbyCounty,Jimmy Gordon,15 October 1973,23 October 1973,1,0,50.0,0.0
DerbyCounty,Dave Mackay,23 October 1973,25 November 1976,44,44,44.3,27.85
DerbyCounty,Colin Murphy,25 November 1976,17 September 1977,15,13,20.0,37.14
DerbyCounty,Tommy Docherty,17 September 1977,10 May 1979,21,33,30.77,42.31
DerbyCounty,Colin Addison,6 July 1979,25 January 1982,28,44,31.43,41.9
DerbyCounty,John Newman,25 January 1982,11 August 1982,13,16,17.14,45.71
DerbyCounty,Peter Taylor,11 August 1982,4 April 1984,22,25,28.79,37.88
DerbyCounty,Roy McFarland,4 April 1984,28 May 1984,1,4,44.44,44.44
DerbyCounty,Arthur Cox,28 May 1984,2 October 1993,108,161,40.62,35.54
DerbyCounty,Roy McFarland,2 October 1993,29 April 1995,21,31,43.01,33.33
DerbyCounty,Billy McEwan,29 April 1995,15 June 1995,0,1,0.0,100.0
DerbyCounty,Jim Smith,15 June 1995,7 October 2001,81,101,35.23,35.94
DerbyCounty,Colin Todd,8 October 2001,14 January 2002,2,11,23.53,64.71
DerbyCounty,Billy McEwan,14 January 2002,30 January 2002,0,2,0.0,100.0
DerbyCounty,John Gregory,30 January 2002,21 March 2003,9,30,29.09,54.55
DerbyCounty,Mark Lillis,21 March 2003,31 March 2003,0,1,0.0,100.0
DerbyCounty,George Burley,31 March 2003,7 June 2005,25,43,36.45,40.19
DerbyCounty,Phil Brown,24 June 2005,30 January 2006,14,12,21.21,36.36
DerbyCounty,Terry Westley,30 January 2006,2 June 2006,6,6,25.0,37.5
DerbyCounty,Billy Davies,2 June 2006,26 November 2007,14,24,44.93,34.78
DerbyCounty,Paul Jewell,28 November 2007,29 December 2008,15,30,22.41,51.72
DerbyCounty,Chris Hutchings,29 December 2008,6 January 2009,0,0,100.0,0.0
DerbyCounty,David Lowe,6 January 2009,8 January 2009,0,0,100.0,0.0
DerbyCounty,Nigel Clough,8 January 2009,28 September 2013,54,101,32.9,43.72
DerbyCounty,Darren Wassall,29 September 2013,1 October 2013,1,0,0.0,0.0
DerbyCounty,Steve McClaren,1 October 2013,25 May 2015,22,22,54.26,23.4
DerbyCounty,Paul Clement,1 June 2015,Present,10,5,48.28,17.24
