Name,From,To,Matches,Won,Drawn,Lost
"[u""O'Brien, Mick"", u""Mick O'Brien""]",29 May 1936,11 August 1937,39,25,9,5
None,12 August 1937,6 November 1937,11,7,1,3
"[u'Duncan, Scott', u'Scott Duncan']",12 November 1937,7 August 1955,505,205,113,187
"[u'Ramsey, Alf', u'Alf Ramsey']",8 August 1955,30 April 1963,369,176,75,118
"[u'Milburn, Jackie', u'Jackie Milburn']",1 May 1963,8 September 1964,56,11,12,33
"[u'Forsyth, Jimmy', u'Jimmy Forsyth']",9 September 1964,4 October 1964,7,2,2,3
"[u'McGarry, Bill', u'Bill McGarry']",5 October 1964,23 November 1968,196,80,62,54
"[u'Lea, Cyril', u'Cyril Lea']",24 November 1968,12 January 1969,7,3,0,4
"[u'Robson, Bobby', u'Bobby Robson']",13 January 1969,18 August 1982,709,316,173,220
"[u'Ferguson, Bobby', u'Bobby Ferguson']",19 August 1982,17 May 1987,258,97,61,100
"[u'Duncan, John', u'John Duncan']",17 June 1987,5 May 1990,161,73,29,59
"[u'Lyall, John', u'John Lyall']",11 May 1990,5 December 1994,231,77,75,79
"[u'Goddard, Paul', u'Paul Goddard']",6 December 1994,27 December 1994,3,0,2,1
"[u'Burley, George', u'George Burley']",28 December 1994,11 October 2002,413,188,96,129
"[u'Mowbray, Tony', u'Tony Mowbray']",11 October 2002,28 October 2002,4,1,1,2
"[u'Royle, Joe', u'Joe Royle']",28 October 2002,11 May 2006,189,81,48,60
"[u'Magilton, Jim', u'Jim Magilton']",5 June 2006,22 April 2009,148,56,41,51
"[u'Keane, Roy', u'Roy Keane']",23 April 2009,7 January 2011,81,28,25,28
"[u'McParland, Ian', u'Ian McParland']",7 January 2011,12 January 2011,2,1,0,1
"[u'Jewell, Paul', u'Paul Jewell']",13 January 2011,24 October 2012,85,29,18,38
"[u'Hutchings, Chris', u'Chris Hutchings']",24 October 2012,1 November 2012,1,0,0,1
"[u'McCarthy, Mick', u'Mick McCarthy']",1 November 2012,Present,164,69,46,49
