Name,From,To,Matches,Won,Drawn,Lost
"[u'Robson, Jack', u'Jack Robson']",May 1889,May 1905,215,82,47,86
"[u'Mackie, Alex', u'Alex Mackie']",June 1905,May 1906,52,13,15,24
"[u'Aitken, Andy', u'Andy Aitken']",October 1906,February 1909,95,40,18,37
"[u'Gunter, John', u'John Gunter']",February 1909,June 1910,79,25,19,35
"[u'Walker, Andy', u'Andy Walker']",June 1910,January 1911,20,9,7,4
"[u'McIntosh, Thomas H.', u'Thomas H. McIntosh']",August 1911,December 1919,179,69,42,68
"[u'Howie, James', u'James Howie']",April 1920,July 1923,132,47,37,48
"[u'Bamlett, Herbert', u'Herbert Bamlett']",August 1923,March 1927,110,30,27,53
"[u'McWilliam, Peter', u'Peter McWilliam']",April 1927,March 1934,328,132,75,121
"[u'Gillow, Wilf', u'Wilf Gillow']",March 1934,March 1944,236,92,55,89
"[u'Jack, David', u'David Jack']",November 1944,April 1952,270,100,61,109
"[u'Rowley, Walter', u'Walter Rowley']",June 1952,February 1954,73,22,16,35
"[u'Dennison, Bob', u'Bob Dennison']",July 1954,January 1963,381,158,77,146
"[u'Carter, Raich', u'Raich Carter']",January 1963,February 1966,143,46,41,56
"[u'Anderson, Stan', u'Stan Anderson']",April 1966,25 January 1973,332,139,89,104
"[u'Shepherdson, Harold', u'Harold Shepherdson']",25 January 1973,7 May 1973,17,9,4,4
"[u'Charlton, Jack', u'Jack Charlton']",7 May 1973,21 April 1977,193,88,49,56
"[u'Neal, John', u'John Neal']",1 May 1977,July 1981,196,69,52,75
"[u'Murdoch, Bobby', u'Bobby Murdoch']",July 1981,29 September 1982,54,9,19,26
"[u'Allison, Malcolm', u'Malcolm Allison']",23 October 1982,28 March 1984,77,24,24,29
"[u'Charlton, Jack', u'Jack Charlton']",28 March 1984,June 1984,9,3,3,3
"[u'Maddren, Willie', u'Willie Maddren']",3 June 1984,2 February 1986,77,17,20,40
"[u'Rioch, Bruce', u'Bruce Rioch']",2 February 1986,9 March 1990,205,82,52,71
"[u'Todd, Colin', u'Colin Todd']",9 March 1990,24 June 1991,70,28,16,26
"[u'Lawrence, Lennie', u'Lennie Lawrence']",10 July 1991,19 May 1994,157,61,43,53
"[u'Robson, Bryan', u'Bryan Robson']",June 1994,6 December 2000,314,127,86,101
"[u'Venables, Terry', u'Terry Venables']",6 December 2000,12 June 2001,25,8,11,6
"[u'McClaren, Steve', u'Steve McClaren']",12 June 2001,11 May 2006,250,97,60,93
"[u'Southgate, Gareth', u'Gareth Southgate']",7 June 2006,20 October 2009,151,45,43,63
"[u'Cooper, Colin', u'Colin Cooper']",20 October 2009,26 October 2009,1,0,1,0
"[u'Strachan, Gordon', u'Gordon Strachan']",26 October 2009,18 October 2010,51,15,13,23
"[u'Agnew, Steve', u'Steve Agnew']",18 October 2010,26 October 2010,2,0,0,2
"[u'Mowbray, Tony', u'Tony Mowbray']",26 October 2010,22 October 2013,153,61,37,55
"[u'Venus, Mark', u'Mark Venus']",23 October 2013,12 November 2013,3,1,1,1
"[u'Karanka, Aitor', u'Aitor Karanka']",13 November 2013,Present,67,34,18,15
