Team,Name,From,To,P,W,D,L
OldhamAthletic,"[u'Ashworth, David', u'David Ashworth']",1 August 1906,1 April 1914,283,126,67,90
OldhamAthletic,"[u'Bamlett, Herbert', u'Herbert Bamlett']",1 June 1914,1 May 1921,127,44,35,48
OldhamAthletic,"[u'Roberts, Charlie', u'Charlie Roberts']",1 July 1921,31 January 1922,27,9,7,11
OldhamAthletic,"[u'Ashworth, David', u'David Ashworth']",1 January 1923,1 July 1924,63,20,22,21
OldhamAthletic,"[u'Mellor, Robert !', u'Robert Mellor']",1 July 1924,1 July 1927,132,52,26,54
OldhamAthletic,"[u'Wilson, Andrew', u'Andrew Wilson']",1 July 1927,1 July 1932,218,87,45,86
OldhamAthletic,"[u'McMullan, Jimmy', u'Jimmy McMullan']",1 May 1933,1 May 1934,45,18,11,16
OldhamAthletic,"[u'Mellor, Robert !', u'Robert Mellor']",1 May 1934,1 February 1945,221,93,46,82
OldhamAthletic,"[u'Womack, Frank', u'Frank Womack']",1 February 1945,1 April 1947,38,14,7,17
OldhamAthletic,"[u'Wootton, Billy', u'Billy Wootton']",1 June 1947,1 September 1950,141,54,36,51
OldhamAthletic,"[u'Hardwick, George', u'George Hardwick']",1 November 1950,1 May 1956,271,101,69,101
OldhamAthletic,"[u'Goodier, Ted', u'Ted Goodier']",1 May 1956,30 June 1958,96,28,36,32
OldhamAthletic,"[u'Dodgin, Norman', u'Norman Dodgin']",1 July 1958,1 May 1960,97,27,17,53
OldhamAthletic,"[u'Rowley, Jack', u'Jack Rowley']",1 June 1960,31 May 1963,151,66,33,52
OldhamAthletic,"[u'McDowall, Les', u'Les McDowall']",1 June 1963,1 March 1965,86,33,15,38
OldhamAthletic,"[u'Hurst, Gordon !', u'Gordon Hurst']",1 April 1965,1 January 1966,19,3,5,11
OldhamAthletic,"[u'McIlroy, Jimmy', u'Jimmy McIlroy']",1 January 1966,1 August 1968,121,46,26,49
OldhamAthletic,"[u'Rowley, Jack', u'Jack Rowley']",1 October 1968,1 December 1969,57,16,14,27
OldhamAthletic,"[u'Frizzell, Jimmy', u'Jimmy Frizzell']",1 March 1970,12 June 1982,544,200,160,184
OldhamAthletic,"[u'Royle, Joe', u'Joe Royle']",14 July 1982,10 November 1994,608,225,165,218
OldhamAthletic,"[u'Sharp, Graeme', u'Graeme Sharp']",16 November 1994,11 February 1997,117,35,34,48
OldhamAthletic,"[u'Warnock, Neil', u'Neil Warnock']",21 February 1997,7 April 1998,69,22,20,27
OldhamAthletic,"[u'Ritchie, Andy', u'Andy Ritchie']",7 May 1998,31 October 2001,179,59,45,75
OldhamAthletic,"[u'Urmson, Billy !', u'Billy Urmson']",31 October 2001,7 November 2001,1,0,1,0
OldhamAthletic,"[u'Wadsworth, Mick', u'Mick Wadsworth']",7 November 2001,31 May 2002,35,15,9,11
OldhamAthletic,"[u'Dowie, Iain', u'Iain Dowie']",31 May 2002,19 December 2003,82,31,28,23
OldhamAthletic,"[u'Eyres, David', u'David Eyres', u' &', u'\n', u'John Sheridan']",20 December 2003,10 March 2004,12,2,6,4
OldhamAthletic,"[u'Talbot, Brian', u'Brian Talbot']",10 March 2004,25 February 2005,55,20,14,21
OldhamAthletic,"[u'Philliskirk, Tony', u'Tony Philliskirk']",25 February 2005,1 March 2005,1,0,0,1
OldhamAthletic,"[u'Moore, Ronnie', u'Ronnie Moore']",1 March 2005,1 June 2006,65,23,18,24
OldhamAthletic,"[u'Sheridan, John', u'John Sheridan']",1 June 2006,15 March 2009,151,61,47,43
OldhamAthletic,"[u'Royle, Joe', u'Joe Royle']",15 March 2009,2 May 2009,9,1,4,4
OldhamAthletic,"[u'Penney, Dave', u'Dave Penney']",30 April 2009,6 May 2010,48,13,13,22
OldhamAthletic,"[u'Gray, Martin', u'Martin Gray']",6 May 2010,2 June 2010,1,0,0,1
OldhamAthletic,"[u'Dickov, Paul', u'Paul Dickov']",9 June 2010,3 February 2013,141,43,37,61
OldhamAthletic,"[u'Philliskirk, Tony', u'Tony Philliskirk']",4 February 2013,18 March 2013,8,3,1,4
OldhamAthletic,"[u'Johnson, Lee', u'Lee Johnson']",18 March 2013,25 February 2015,103,36,32,35
OldhamAthletic,"[u'Holden, Dean', u'Dean Holden']",25 February 2015,6 May 2015,15,3,5,7
OldhamAthletic,"[u'Kelly, Darren', u'Darren Kelly']",6 May 2015,12 September 2015,9,1,4,4
OldhamAthletic,"[u'Dunn, David', u'David Dunn']",13 September 2015,12 January 2016,20,3,9,8
OldhamAthletic,"[u'Sheridan, John', u'John Sheridan']",13 January 2016,Present,0,0,0,0
