Team,Name,From,To,P,W,D,L
SheffieldUnited,Wostinholm Joseph !,22 March 1889,31 May 1899,233,103,54,76
SheffieldUnited,Nicholson John !,1 June 1899,23-Apr-32,"1,216",486,281,449
SheffieldUnited,Davison Teddy !,15-Jun-32,30-Jun-52,592,248,139,205
SheffieldUnited,Freeman Reg !,1-Aug-52,4-Aug-55,132,54,30,48
SheffieldUnited,Mercer Joe !,18-Aug-55,25-Dec-58,156,64,35,57
SheffieldUnited,Clark Archie !,25-Dec-58,13-Apr-59,20,13,2,5
SheffieldUnited,Harris John !,13-Apr-59,11-Jul-68,424,174,102,148
SheffieldUnited,Rowley Arthur !,11-Jul-68,6-Aug-69,43,16,11,16
SheffieldUnited,Harris John !,6-Aug-69,5-Dec-73,188,84,45,59
SheffieldUnited,Furphy Ken !,7-Dec-73,6-Oct-75,80,27,22,31
SheffieldUnited,Coldwell Cec !,6-Oct-75,16-Oct-75,1,1,0,0
SheffieldUnited,Sirrel Jimmy !,16-Oct-75,27-Sep-77,81,20,23,38
SheffieldUnited,Coldwell Cec !,27-Sep-77,26-Jan-78,20,9,5,6
SheffieldUnited,Haslam Harry !,26-Jan-78,16-Jan-81,158,50,40,68
SheffieldUnited,Peters Martin !,18-Jan-81,30-May-81,16,3,6,7
SheffieldUnited,Porterfield Ian !,6-Jun-81,27-Mar-86,226,98,58,70
SheffieldUnited,McEwan Billy !,27-Mar-86,2-Jan-88,86,27,25,34
SheffieldUnited,Bassett Dave !,21-Jan-88,12-Dec-95,393,150,101,142
SheffieldUnited,Kendall Howard !,13-Dec-95,27-Jun-97,82,34,27,21
SheffieldUnited,Spackman Nigel !,27-Jun-97,2-Mar-98,43,20,17,6
SheffieldUnited,Slade Russell !,2-Mar-98,9-Mar-98,2,0,1,1
SheffieldUnited,Thompson Steve !,9-Mar-98,2-Jul-98,17,5,6,6
SheffieldUnited,Bruce Steve !,2-Jul-98,17-May-99,55,22,15,18
SheffieldUnited,Heath Adrian !,15-Jun-99,23-Nov-99,22,7,5,10
SheffieldUnited,Slade Russell !,23-Nov-99,2-Dec-99,2,0,1,1
SheffieldUnited,Warnock Neil !,2-Dec-99,16-May-07,388,165,100,123
SheffieldUnited,Robson Bryan !,22-May-07,14-Feb-08,38,14,12,12
SheffieldUnited,Blackwell Kevin !,14-Feb-08,14-Aug-10,125,53,36,36
SheffieldUnited,Speed Gary !,17-Aug-10,14-Dec-10,18,6,9,3
SheffieldUnited,Carver John !,14-Dec-10,30-Dec-10,3,1,2,0
SheffieldUnited,Adams Micky !,30-Dec-10,10-May-11,24,4,15,5
SheffieldUnited,Wilson Danny !,27-May-11,10-Apr-13,106,55,31,20
SheffieldUnited,Morgan Chris !,10-Apr-13,10-Jun-13,7,2,2,3
SheffieldUnited,Morgan Chris !,10-Jun-13,11-Oct-13,13,1,2,10
SheffieldUnited,Morgan Chris !,11-Oct-13,23-Oct-13,3,1,1,1
SheffieldUnited,Clough Nigel !,23-Oct-13,25-May-15,104,49,30,25
SheffieldUnited,Adkins Nigel !,2-Jun-15,[],19,9,4,6
