Name,From,To,P,W,D,L
"[u'(1) ', u'Dickinson, Arthur', u'Arthur Dickinson']",August 1891,May 1920,919,393,188,338
"[u'(2) ', u'Brown, Robert', u'Robert Brown']",June 1920,December 1933,600,266,135,199
"[u'(3) ', u'Walker, Billy', u'Billy Walker']",December 1933,November 1937,187,66,53,68
"[u'(4) ', u'McMullan, Jimmy', u'Jimmy McMullan']",December 1937,April 1942,77,33,23,21
"[u'(5) ', u'Taylor, Eric', u'Eric Taylor']",April 1942,July 1958,539,196,128,215
"[u'(6) ', u'Catterick, Harry', u'Harry Catterick']",August 1958,April 1961,138,77,31,30
"[u'(7) ', u'Buckingham, Vic', u'Vic Buckingham']",May 1961,March 1964,134,63,24,47
"[u'(8) ', u'Brown, Alan', u'Alan Brown']",July 1964,February 1968,174,60,44,70
"[u'(9) ', u'Marshall, Jack', u'Jack Marshall']",February 1968,April 1969,48,12,16,20
"[u'(10) ', u'Williams, Danny', u'Danny Williams']",August 1969,January 1971,67,16,16,35
"[u'(11) ', u'Dooley, Derek', u'Derek Dooley']",January 1971,24 December 1973,130,41,35,54
"[u'(12) ', u'Burtenshaw, Steve', u'Steve Burtenshaw']",29 January 1974,1 October 1975,68,13,17,38
"[u'(13) ', u'Ashurst, Len', u'Len Ashurst']",15 October 1975,5 October 1977,92,31,27,34
"[u'(14) ', u'Charlton, Jack', u'Jack Charlton']",8 October 1977,27 May 1983,269,105,87,77
"[u'(15) ', u'Wilkinson, Howard', u'Howard Wilkinson']",24 June 1983,10 October 1988,255,114,68,73
"[u'(16) ', u'Eustace, Peter', u'Peter Eustace']",28 October 1988,14 February 1989,18,2,7,9
"[u'(17) ', u'Atkinson, Ron', u'Ron Atkinson']",14 February 1989,6 June 1991,118,49,35,34
"[u'(18) ', u'Francis, Trevor', u'Trevor Francis']",7 June 1991,20 May 1995,214,88,68,58
"[u'(19) ', u'Pleat, David', u'David Pleat']",14 June 1995,3 November 1997,102,32,30,40
"[u'(20) ', u'Atkinson, Ron', u'Ron Atkinson']",14 November 1997,17 May 1998,27,9,7,11
"[u'(21) ', u'Wilson, Danny', u'Danny Wilson']",6 July 1998,21 March 2000,80,23,17,40
"[u'(22) ', u'Jewell, Paul', u'Paul Jewell']",21 June 2000,12 February 2001,38,12,5,21
"[u'(23) ', u'Shreeves, Peter', u'Peter Shreeves']",12 February 2001,17 October 2001,31,11,9,11
"[u'(24) ', u'Yorath, Terry', u'Terry Yorath']",17 October 2001,31 October 2002,56,16,15,25
"[u'(25) ', u'Turner, Chris', u'Chris Turner']",7 November 2002,19 September 2004,96,29,31,36
"[u'(26) ', u'Sturrock, Paul', u'Paul Sturrock']",23 September 2004,19 October 2006,104,35,29,40
"[u'(27) ', u'Laws, Brian', u'Brian Laws']",6 November 2006,13 December 2009,154,52,42,60
"[u'(28) ', u'Irvine, Alan', u'Alan Irvine']",8 January 2010,3 February 2011,59,24,13,22
"[u'(29) ', u'Megson, Gary', u'Gary Megson']",4 February 2011,29 February 2012,62,28,12,22
"[u'(30) ', u'Jones, Dave', u'Dave Jones']",1 March 2012,1 December 2013,81,29,22,30
"[u'(31) ', u'Gray, Stuart', u'Stuart Gray']",1 December 2013,11 June 2015,68,26,23,19
"[u'(32) ', u'Carvalhal, Carlos', u'Carlos Carvalhal']",30 June 2015,[],32,16,7,9
