Name,From,To,P,W,D,L
"[u'Slaney, Thomas', u'Thomas Slaney']",1874,1883,0,0,0,0
"[u'Cox, Walter', u'Walter Cox']",1883,1884,1,0,0,1
"[u'Lockett, Harry', u'Harry Lockett']",1884,1890,55,13,9,33
"[u'Bradshaw, Joseph', u'Joseph Bradshaw']",1890,1892,33,9,5,19
"[u'Reeves, Arthur', u'Arthur Reeves']",1892,1895,96,37,14,45
"[u'Rowley, Bill', u'Bill Rowley']",1895,1897,66,29,4,33
"[u'Austerberry, Horace', u'Horace Austerberry']",1897,1908,421,149,89,183
"[u'Barker, Alfred', u'Alfred Barker']",1908,1914,256,130,35,91
"[u'Hodge, Peter', u'Peter Hodge']",1914,1915,30,21,4,5
"[u'Schofield, Joe', u'Joe Schofield']",1915,1919,0,0,0,0
"[u'Shallcross, Arthur', u'Arthur Shallcross']",1919,1923,171,59,43,69
"[u'Rutherford, Jock', u'Jock Rutherford']",1923,1923,11,2,3,6
"[u'Mather, Tom', u'Tom Mather']",1923,1935,523,222,122,179
"[u'McGrory, Bob', u'Bob McGrory']",1935,1952,460,170,114,176
"[u'Taylor, Frank', u'Frank Taylor']",1952,1960,362,146,79,137
"[u'Waddington, Tony', u'Tony Waddington']",1960,1977,764,265,216,283
"[u'Eastham, George', u'George Eastham']",1977,1978,37,9,12,16
"[u""A'Court, Alan"", u""Alan A'Court""]",1978,1978,1,0,0,1
"[u'Durban, Alan', u'Alan Durban']",1978,1981,143,53,48,42
"[u'Barker, Richie', u'Richie Barker']",1981,1983,102,31,23,48
"[u'Asprey, Bill', u'Bill Asprey']",1983,1985,64,14,15,35
"[u'Lacey, Tony', u'Tony Lacey']",1985,1985,8,0,0,8
"[u'Mills, Mick', u'Mick Mills']",1985,1989,213,72,63,78
"[u'Ball, Alan', u'Alan Ball']",1989,1991,62,17,21,24
"[u'Paddon, Graham', u'Graham Paddon']",1991,1991,18,6,3,9
"[u'Macari, Lou', u'Lou Macari']",1991,1993,122,57,35,30
"[u'Jordan, Joe', u'Joe Jordan']",1993,1994,40,13,13,14
"[u'Hartford, Asa', u'Asa Hartford']",1994,1994,4,3,0,1
"[u'Macari, Lou', u'Lou Macari']",1994,1997,144,53,42,49
"[u'Bates, Chic', u'Chic Bates']",1997,1998,33,11,9,13
"[u'Kamara, Chris', u'Chris Kamara']",1998,1998,14,1,5,8
"[u'Durban, Alan', u'Alan Durban']",1998,1998,5,2,0,3
"[u'Little, Brian', u'Brian Little']",1998,1999,52,23,7,22
"[u'Megson, Gary', u'Gary Megson']",1999,1999,22,9,7,6
"[u'\xde\xf3r\xf0arson, Gu\xf0j\xf3n', u'Gu\xf0j\xf3n \xde\xf3r\xf0arson']",1999,2002,154,77,39,38
"[u'Cotterill, Steve', u'Steve Cotterill']",2002,2002,13,3,5,5
"[u'Kevan, Dave', u'Dave Kevan']",2002,2002,4,0,0,4
"[u'Pulis, Tony', u'Tony Pulis']",2002,2005,131,47,32,52
"[u'Boskamp, Johan', u'Johan Boskamp']",2005,2006,51,18,10,23
"[u'Pulis, Tony', u'Tony Pulis']",2006,2013,333,122,98,113
"[u'Hughes, Mark', u'Mark Hughes']",2013,Present,117,47,29,41
