Picture,Name,Nationality,From,To,M,W,D,L,F,A,Win%,Honours,Notes
[],"[u'John Tait Robertson', u'[', u']']","[u'\xa0', u'Scotland']",[u'1 August 1905'],[u'27 November 1906'],[u'54'],[u'33'],[u'10'],[u'11'],[u'126'],[u'57'],[u'61%'],[u'\u2013'],"[u'[', u'2', u']', u'[', u'3', u']']"
[],"[u'William Lewis', u'[', u'nb 2', u']']","[u'\xa0', u'England']",[u'27 November 1906'],[u'1 August 1907'],[u'27'],[u'17'],[u'5'],[u'5'],[u'54'],[u'25'],[u'63%'],[u'\u2013'],"[u'[', u'2', u']']"
[],[u'David Calderhead'],"[u'\xa0', u'Scotland']",[u'1 August 1907'],[u'8 May 1933'],[u'966'],[u'385'],[u'239'],[u'342'],[u'1376'],[u'1305'],[u'40%'],[u'\u2013'],"[u'[', u'2', u']', u'[', u'4', u']']"
[],[u'Leslie Knighton'],"[u'\xa0', u'England']",[u'8 May 1933'],[u'19 April 1939'],[u'269'],[u'92'],[u'69'],[u'108'],[u'419'],[u'446'],[u'34%'],[u'\u2013'],"[u'[', u'2', u']', u'[', u'5', u']']"
[],[u'Billy Birrell'],"[u'\xa0', u'Scotland']",[u'19 April 1939'],[u'31 May 1952'],[u'293'],[u'97'],[u'77'],[u'119'],[u'410'],[u'462'],[u'33%'],[u'\u2013'],"[u'[', u'2', u']', u'[', u'6', u']']"
[],[u'Ted Drake'],"[u'\xa0', u'England']",[u'1 June 1952'],[u'30 September 1961'],[u'426'],[u'156'],[u'103'],[u'167'],[u'771'],[u'772'],[u'37%'],[u'see below'],"[u'[', u'2', u']', u'[', u'7', u']']"
[],[u'Tommy Docherty'],"[u'\xa0', u'Scotland']",[u'1 October 1961'],[u'6 October 1967'],[u'303'],[u'142'],[u'65'],[u'96'],[u'526'],[u'422'],[u'47%'],[u'see below'],"[u'[', u'2', u']', u'[', u'8', u']']"
[],"[u'Ron Suart', u'[', u'nb 2', u']']","[u'\xa0', u'England']",[u'6 October 1967'],[u'23 October 1967'],[u'2'],[u'0'],[u'1'],[u'1'],[u'1'],[u'8'],[u'0%'],[u'\u2013'],"[u'[', u'2', u']']"
[],[u'Dave Sexton'],"[u'\xa0', u'England']",[u'23 October 1967'],[u'3 October 1974'],[u'371'],[u'164'],[u'107'],[u'100'],[u'569'],[u'430'],[u'44%'],[u'see below'],"[u'[', u'2', u']', u'[', u'9', u']']"
[],[u'Ron Suart'],"[u'\xa0', u'England']",[u'3 October 1974'],[u'16 April 1975'],[u'34'],[u'8'],[u'12'],[u'14'],[u'38'],[u'62'],[u'24%'],[u'\u2013'],"[u'[', u'2', u']', u'[', u'10', u']']"
[],[u'Eddie McCreadie'],"[u'\xa0', u'Scotland']",[u'16 April 1975'],[u'1 July 1977'],[u'97'],[u'37'],[u'33'],[u'27'],[u'141'],[u'133'],[u'38%'],[u'\u2013'],"[u'[', u'2', u']', u'[', u'11', u']']"
[],[u'Ken Shellito'],"[u'\xa0', u'England']",[u'7 July 1977'],[u'13 December 1978'],[u'66'],[u'15'],[u'19'],[u'32'],[u'77'],[u'115'],[u'23%'],[u'\u2013'],"[u'[', u'2', u']', u'[', u'12', u']']"
[],[u'Danny Blanchflower'],"[u'\xa0', u'Northern Ireland']",[u'14 December 1978'],[u'11 September 1979'],[u'32'],[u'5'],[u'8'],[u'19'],[u'34'],[u'68'],[u'16%'],[u'\u2013'],"[u'[', u'2', u']', u'[', u'13', u']']"
[],[u'Geoff Hurst'],"[u'\xa0', u'England']",[u'13 September 1979'],[u'23 April 1981'],[u'81'],[u'35'],[u'19'],[u'27'],[u'108'],[u'89'],[u'43%'],[u'\u2013'],"[u'[', u'2', u']', u'[', u'14', u']']"
[],"[u'Bobby Gould', u'[', u'nb 2', u']']","[u'\xa0', u'England']",[u'23 April 1981'],[u'May 1981'],[u'2'],[u'0'],[u'0'],[u'2'],[u'0'],[u'5'],[u'0%'],[u'\u2013'],"[u'[', u'2', u']', u'[', u'15', u']']"
[],[u'John Neal'],"[u'\xa0', u'England']",[u'28 May 1981'],[u'11 June 1985'],[u'203'],[u'84'],[u'61'],[u'58'],[u'326'],[u'253'],"[u'41%', u'[', u'nb 3', u']']",[u'see below'],"[u'[', u'2', u']', u'[', u'16', u']']"
[],[u'John Hollins'],"[u'\xa0', u'England']",[u'11 June 1985'],[u'6 March 1988'],[u'145'],[u'56'],[u'38'],[u'51'],[u'199'],[u'217'],"[u'39%', u'[', u'nb 4', u']']",[u'see below'],"[u'[', u'2', u']', u'[', u'17', u']']"
[],[u'Bobby Campbell'],"[u'\xa0', u'England']",[u'6 March 1988'],[u'12 May 1991'],[u'165'],[u'77'],[u'47'],[u'41'],[u'287'],[u'233'],"[u'47%', u'[', u'nb 5', u']']",[u'see below'],"[u'[', u'2', u']', u'[', u'18', u']']"
[],[u'Ian Porterfield'],"[u'\xa0', u'Scotland']",[u'11 June 1991'],[u'15 February 1993'],[u'90'],[u'31'],[u'28'],[u'31'],[u'106'],[u'119'],"[u'34%', u'[', u'nb 6', u']']",[u'\u2013'],"[u'[', u'2', u']', u'[', u'19', u']']"
[],"[u'David Webb', u'[', u'nb 2', u']']","[u'\xa0', u'England']",[u'15 February 1993'],[u'11 May 1993'],[u'13'],[u'5'],[u'4'],[u'4'],[u'19'],[u'18'],[u'38%'],[u'\u2013'],"[u'[', u'2', u']', u'[', u'20', u']']"
[],"[u'Glenn Hoddle', u'[', u']']","[u'\xa0', u'England']",[u'4 June 1993'],[u'10 May 1996'],[u'157'],[u'53'],[u'54'],[u'50'],[u'192'],[u'182'],"[u'34%', u'[', u'nb 7', u']']",[u'\u2013'],"[u'[', u'2', u']', u'[', u'21', u']']"
[],"[u'Ruud Gullit', u'[', u']']","[u'\xa0', u'Netherlands']",[u'10 May 1996'],[u'12 February 1998'],[u'83'],[u'41'],[u'18'],[u'24'],[u'157'],[u'109'],"[u'49%', u'[', u'nb 8', u']']",[u'see below'],"[u'[', u'2', u']', u'[', u'22', u']']"
[],"[u'Gianluca Vialli', u'[', u']']","[u'\xa0', u'Italy']",[u'12 February 1998'],[],[u'143'],[u'76'],[u'38'],[u'29'],[u'223'],[u'123'],[u'53%'],[u'see below'],"[u'[', u'2', u']', u'[', u'23', u']']"
[],"[u'Graham Rix', u'[', u'nb 2', u']']","[u'\xa0', u'England']",[],[],[u'2'],[u'1'],[u'0'],[u'1'],[u'1'],[u'2'],[u'50%'],[u'\u2013'],"[u'[', u'2', u']', u'[', u'24', u']']"
[],[u'Claudio Ranieri'],"[u'\xa0', u'Italy']",[],[u'31 May 2004'],[u'199'],[u'107'],[u'46'],[u'46'],[u'358'],[u'197'],[u'54%'],[u'\u2013'],"[u'[', u'2', u']', u'[', u'25', u']']"
[],[u'Jos\xe9 Mourinho'],"[u'\xa0', u'Portugal']",[u'2 June 2004'],[u'19 September 2007'],[u'185'],[u'124'],[u'40'],[u'21'],[u'330'],[u'119'],"[u'67%', u'[', u'nb 9', u']']",[u'see below'],"[u'[', u'2', u']', u'[', u'26', u']']"
[],[u'Avram Grant'],"[u'\xa0', u'Israel']",[u'20 September 2007'],[u'24 May 2008'],[u'54'],[u'36'],[u'13'],[u'5'],[u'97'],[u'36'],"[u'67%', u'[', u']']",[u'\u2013'],"[u'[', u'2', u']', u'[', u'27', u']']"
[],[u'Luiz Felipe Scolari'],"[u'\xa0', u'Brazil']",[u'1 July 2008'],[u'9 February 2009'],[u'36'],[u'20'],[u'11'],[u'5'],[u'66'],[u'24'],"[u'56%', u'[', u']']",[u'\u2013'],"[u'[', u'2', u']', u'[', u'28', u']']"
[],"[u'Ray Wilkins', u'[', u'nb 2', u']']","[u'\xa0', u'England']",[u'9 February 2009'],[u'15 February 2009'],[u'1'],[u'1'],[u'0'],[u'0'],[u'3'],[u'1'],[u'100%'],[u'\u2013'],"[u'[', u'29', u']']"
[],"[u'Guus Hiddink', u'[', u'nb 2', u']']","[u'\xa0', u'Netherlands']",[u'16 February 2009'],[u'30 May 2009'],[u'22'],[u'16'],[u'5'],[u'1'],[u'41'],[u'19'],[u'73%'],[u'see below'],"[u'[', u'30', u']']"
