Team,Name,From,To,Duration,Matches,Won,Drawn,Lost,GA,GF,,
Arsenal,"Mitchell, Thomas",3/30/1897,3/10/1898,,45,23,8,14,79,106,,*Excel can't handle dates before 1900. Do I have to do this manually?
Arsenal,Unknown,11 March 1898,April 1898,,9,6,2,1,8,21,,
Arsenal,"Elcoat, William",11 April 1898,16 February 1899,,44,21,6,17,67,86,,"*Sometimes, only month/year given, and manager in place for <1 month. Leads to duration calculation of 0, even though more dates played"
Arsenal,"Kennedy, Arthur",21 February 1899,29 April 1899,,15,8,3,4,17,31,,*How to handle present managers? Remove from set?
Arsenal,"Bradshaw, Harry",30 June 1899,30-Apr-04,,235,118,44,73,237,403,,*Are we going to filter for outliers? (Maybe managers w/ less than 15 games played?)
Arsenal,"Kelso, Phil",1-May-04,9-Feb-08,1379,152,63,31,58,229,225,,*What to do when only the year is provided?
Arsenal,"Morrell, George",10-Feb-08,13-Apr-15,2619,309,113,74,122,428,392,,
Arsenal,"McEwen, James",19-Apr-15,24-May-19,1496,2,1,0,1,3,7,,
Arsenal,"Knighton, Leslie",25-May-19,16-May-25,2183,286,105,63,118,401,367,,
Arsenal,"Chapman, Herbert",11-Jun-25,6-Jan-34,3131,411,204,97,110,616,879,,
Arsenal,"Shaw, Joe",6-Jan-34,28-May-34,142,23,14,3,6,29,44,,
Arsenal,"Allison, George",28-May-34,31-May-47,4751,279,129,74,76,327,534,,
Arsenal,"Whittaker, Tom",2-Jun-47,24-Oct-56,3432,430,203,106,121,568,802,,
Arsenal,"Crayston, Jack",24-Oct-56,19-May-58,572,81,34,17,30,151,148,,
Arsenal,"Swindin, George",21-Jun-58,1-May-62,1410,186,76,43,67,330,336,,
Arsenal,"Wright, Billy",1-May-62,13-Jun-66,1504,182,70,43,69,330,336,,
Arsenal,"Mee, Bertie",20-Jun-66,4-May-76,3606,539,241,148,150,542,739,,
Arsenal,"Neill, Terry",9-Jul-76,16-Dec-83,2716,416,187,117,112,446,601,,
Arsenal,"Howe, Don",16-Dec-83,22-Mar-86,827,117,54,32,31,142,187,,
Arsenal,"Burtenshaw, Steve",23-Mar-86,14-May-86,52,11,3,2,6,15,7,,
Arsenal,"Graham, George",14-May-86,21-Feb-95,3205,460,225,133,102,403,711,,
Arsenal,"Houston, Stewart",21-Feb-95,15-Jun-95,114,19,7,3,9,25,29,,
Arsenal,"Rioch, Bruce",15-Jun-95,12-Aug-96,424,47,22,15,10,37,67,,
Arsenal,"Houston, Stewart",12-Aug-96,13-Sep-96,32,6,2,2,2,10,11,,
Arsenal,"Rice, Pat",13-Sep-96,30-Sep-96,17,4,3,0,1,4,10,,
Arsenal,"Wenger, Ars‘ne",1-Oct-96,Present,,"1,098",632,254,212,990,"1,886",,
AstonVilla,"[u'Ramsay, George', u'George Ramsay', u'[', u'5', u']']",8/1/1884,1-May-26,,"1,327",658,414,255,,,,* months start with day 1 since day not provided
AstonVilla,"[u'Smith, W. J.', u'W. J. Smith', u'[', u'5', u']']",1-Aug-26,1-May-34,2830,364,175,67,122,,,,
AstonVilla,"[u'McMullan, Jimmy', u'Jimmy McMullan']",1-Jun-34,1-Oct-36,853,55,17,15,23,,,,
AstonVilla,"[u'Hogan, Jimmy', u'Jimmy Hogan']",1-Nov-36,1-Sep-39,1034,124,57,26,41,,,,
AstonVilla,"[u'Massie, Alex', u'Alex Massie']",1-Aug-45,1-Aug-50,1826,189,76,46,67,,,,
AstonVilla,"[u'Martin, George', u'George Martin']",1-Dec-50,1-Aug-53,974,119,47,30,42,,,,
AstonVilla,"[u'Houghton, Eric', u'Eric Houghton']",1-Sep-53,1-Nov-58,1887,250,88,65,97,,,,
AstonVilla,"[u'Mercer, Joe', u'Joe Mercer']",1-Dec-58,1-Jul-64,2039,282,120,63,99,,,,
AstonVilla,"[u'Taylor, Dick', u'Dick Taylor']",1-Jul-64,1-May-67,1034,144,51,22,71,,,,
AstonVilla,"[u'Cummings, Tommy', u'Tommy Cummings']",1-Jul-67,1-Nov-68,489,62,18,14,30,,,,
AstonVilla,"[u'Docherty, Tommy', u'Tommy Docherty']",1-Dec-68,1-Jan-70,396,46,13,16,17,,,,
AstonVilla,"[u'Crowe, Vic', u'Vic Crowe']",1-Jan-70,1-May-74,1581,199,88,55,56,,,,
AstonVilla,"[u'Saunders, Ron', u'Ron Saunders']",1-Jun-74,1-Feb-82,2802,353,157,98,98,,,,
AstonVilla,"[u'Barton, Tony', u'Tony Barton']",1-Feb-82,1-Jun-84,851,130,58,24,48,,,,
AstonVilla,"[u'Turner, Graham', u'Graham Turner']",1-Jul-84,1-Sep-86,792,105,33,29,43,,,,
AstonVilla,"[u'McNeill, Billy', u'Billy McNeill']",1-Sep-86,1-May-87,242,41,9,15,17,,,,
AstonVilla,"[u'Taylor, Graham', u'Graham Taylor']",1-May-87,1-Jul-90,1157,142,65,35,42,,,,
AstonVilla,"[u'Venglo\u0161, Jozef', u'Jozef Venglo\u0161']",1-Jul-90,1-May-91,304,49,16,15,18,,,,
AstonVilla,"[u'Atkinson, Ron', u'Ron Atkinson']",1-Jul-91,1-Nov-94,1219,178,77,45,56,,,,
AstonVilla,"[u'Little, Brian', u'Brian Little']",1-Nov-94,1-Feb-98,1188,164,68,45,51,,,,
AstonVilla,"[u'Gregory, John', u'John Gregory']",1-Feb-98,1-Jan-02,1430,190,82,52,56,,,,
AstonVilla,"[u'Taylor, Graham', u'Graham Taylor']",1-Feb-02,1-May-03,454,60,19,14,27,,,,
AstonVilla,"[u""O'Leary, David"", u""David O'Leary""]",1-May-03,1-Jul-06,1157,131,47,35,49,,,,
AstonVilla,"[u""O'Neill, Martin"", u""Martin O'Neill""]",1-Aug-06,1-Aug-10,1461,190,80,60,50,,,,
AstonVilla,"[u'Houllier, G\xe9rard', u'G\xe9rard Houllier']",1-Sep-10,1-Jun-11,273,36,14,8,14,,,,
AstonVilla,"[u'McLeish, Alex', u'Alex McLeish']",1-Jun-11,1-May-12,335,42,9,17,16,,,,
AstonVilla,"[u'Lambert, Paul', u'Paul Lambert']",1-Jun-12,1-Feb-15,975,115,34,26,55,,,,
AstonVilla,"[u'Sherwood, Tim', u'Tim Sherwood']",1-Feb-15,1-Oct-15,242,28,11,2,15,,,,
AstonVilla,"[u'Garde, Remi', u'Remi Garde']",1-Nov-15,Present,,12,1,6,5,,,,
Barnsley,"[u'Jones, Alfred', u'Alfred Jones']",July 1892,1-Jun-08,,566,260,108,198,,,,* some months start with day 1 since day not provided
Barnsley,"[u'Watson, Alex', u'Alex Watson']",1-Jul-08,1-Jun-10,700,78,22,16,40,,,,
Barnsley,"[u'McRoberts, Bob', u'Bob McRoberts']",1-Jul-10,1-May-15,1765,203,77,47,79,,,,
Barnsley,"[u'Richards, Frank', u'Frank Richards']",1-May-15,1-May-23,2922,173,78,36,59,,,,
Barnsley,"[u'Beer, Billy', u'Billy Beer']",1-May-23,1-Mar-27,1400,163,62,36,65,,,,
Barnsley,"[u'Harvey, Bill', u'Bill Harvey']",1-Mar-27,1-May-28,427,58,20,16,22,,,,
Barnsley,"[u'Knighton, Leslie', u'Leslie Knighton']",1-Aug-28,1-May-33,1734,229,87,51,91,,,,
Barnsley,"[u'Liddell, George', u'George Liddell']",1-Jul-33,1-Sep-39,2253,267,82,76,109,,,,
Barnsley,"[u'Camkin, Bill', u'Bill Camkin']",1-Sep-39,1-Nov-44,1888,0,0,0,0,,,,
Barnsley,"[u'Goodier, Ted', u'Ted Goodier', u' ']",1-Nov-44,1-May-45,181,0,0,0,0,,,,
Barnsley,"[u'Storer, Harry', u'Harry Storer']",1-Jun-45,1-Nov-48,1249,114,59,30,25,,,,
Barnsley,Walter Taylor ,1-Nov-48,1-Jan-49,61,9,3,1,5,,,,
Barnsley,"[u'Brocklebank, Bob', u'Bob Brocklebank']",1-Jan-49,1-Oct-54,2099,263,102,71,90,,,,
Barnsley,"[u'Turner, Arthur', u'Arthur Turner']",1-Nov-54,1-Feb-58,1188,166,74,35,57,,,,
Barnsley,"[u'Turner, Arthur', u'Arthur Turner', u'\n', u'Beasley, Pat', u'Pat Beasley']",1-Feb-58,1-Sep-58,212,17,6,5,6,,,,
Barnsley,"[u'Beasley, Pat', u'Pat Beasley']",1-Sep-58,1-May-60,608,95,39,20,36,,,,
Barnsley,"[u'Merrick, Gil', u'Gil Merrick']",1-May-60,28-Apr-64,1458,202,64,46,92,,,,
Barnsley,"[u'Mallett, Joe', u'Joe Mallett']",1-Jul-64,27-Dec-65,544,66,15,16,35,,,,
Barnsley,"[u'Cullis, Stan', u'Stan Cullis']",27-Dec-65,18-Mar-70,1542,214,87,51,76,,,,
Barnsley,"[u'Dorman, Don', u'Don Dorman', u' ', u'\n', u'Bill Shorthouse', u' ']",18-Mar-70,29-May-70,72,6,1,0,5,,,,
Barnsley,"[u'Goodwin, Freddie', u'Freddie Goodwin']",29-May-70,18-Sep-75,1938,269,99,83,87,,,,
Barnsley,"[u'Bell, Willie', u'Willie Bell']",18-Sep-75,5-Sep-77,718,91,28,20,43,,,,
Barnsley,"[u'Ramsey, Sir Alf', u'Sir Alf Ramsey']",8-Sep-77,6-Mar-78,179,28,11,4,13,,,,
Barnsley,"[u'Smith, Jim', u'Jim Smith']",12-Mar-78,15-Feb-82,1436,182,59,50,73,,,,
Barnsley,"[u'Bodell, Norman', u'Norman Bodell', u' ']",15-Feb-82,22-Feb-82,7,2,1,0,1,,,,
Barnsley,"[u'Saunders, Ron', u'Ron Saunders']",22-Feb-82,16-Jan-86,1424,202,72,53,77,,,,
Barnsley,"[u'Leonard, Keith', u'Keith Leonard', u' ']",16-Jan-86,22-Jan-86,6,1,0,0,1,,,,
Barnsley,"[u'Bond, John', u'John Bond']",23-Jan-86,27-May-87,489,65,17,20,28,,,,
Barnsley,"[u'Pendrey, Garry', u'Garry Pendrey']",28-May-87,26-Apr-89,699,98,20,27,51,,,,
