Name,Nat.,From,To,P,W,D,L,Win%,Honours
[u'Peter Hodge'],"[u'\xa0', u'Scotland']",[u'6 September 1919'],[u'May 1926'],[u'310'],[u'125'],[u'84'],[u'101'],[u'40.32'],"[u'Second Division', u' Champion ', u'1924-25']"
[u'Willie Orr'],"[u'\xa0', u'Scotland']",[u'July 1926'],[u'January 1932'],[u'242'],[u'102'],[u'50'],[u'90'],[u'42.15'],"[u'First Division', u' Runner-up ', u'1928-29']"
[u'Board'],[],[u'January 1932'],[u'March 1932'],[u'10'],[u'2'],[u'3'],[u'5'],[u'20.00'],[]
[u'Peter Hodge'],"[u'\xa0', u'Scotland']",[u'March 1932'],[u'1 August 1934'],[u'100'],[u'34'],[u'26'],[u'40'],[u'34.00'],[]
[u'Board'],[],[u'1 August 1934'],[u'17 October 1934'],[u'10'],[u'2'],[u'4'],[u'4'],[u'20.00'],[]
[u'Arthur Lochhead'],"[u'\xa0', u'Scotland']",[u'17 October 1934'],[u'2 September 1936'],[u'81'],[u'33'],[u'15'],[u'33'],[u'40.74'],[]
[u'Board'],[],[u'2 September 1936'],[u'October 1936'],[u'8'],[u'1'],[u'2'],[u'5'],[u'12.50'],[]
[u'Frank Womack'],"[u'\xa0', u'England']",[u'October 1936'],[u'May 1939'],[u'123'],[u'48'],[u'29'],[u'46'],[u'39.02'],"[u'Second Division', u' Champion ', u'1936-37']"
[u'Tom Bromilow'],"[u'\xa0', u'England']",[u'August 1939'],[u'May 1945'],[u'0'],[u'0'],[u'0'],[u'0'],[u'n/a'],[]
[u'Tom Mather'],"[u'\xa0', u'England']",[u'August 1945'],[u'March 1946'],[u'2'],[u'0'],[u'1'],[u'1'],[u'00.00'],[]
[u'Johnny Duncan'],"[u'\xa0', u'Scotland']",[u'March 1946'],[u'11 October 1949'],[u'156'],[u'56'],[u'42'],[u'58'],[u'35.90'],"[u'FA Cup', u' Runner-up ', u'1949']"
[u'Board'],[],[u'11 October 1949'],[u'December 1949'],[u'7'],[u'1'],[u'4'],[u'2'],[u'14.29'],[]
[u'Norman Bullock'],"[u'\xa0', u'England']",[u'December 1949'],[u'February 1955'],[u'232'],[u'91'],[u'64'],[u'77'],[u'39.22'],"[u'Second Division', u' Champion ', u'1953-54']"
[u'Board'],[],[u'February 1955'],[u'May 1955'],[u'15'],[u'7'],[u'3'],[u'5'],[u'46.67'],[]
[u'Dave Halliday'],"[u'\xa0', u'Scotland']",[u'June 1955'],[u'November 1958'],[u'146'],[u'64'],[u'27'],[u'55'],[u'43.84'],"[u'Second Division', u' Champion ', u'1956-57']"
[u'Matt Gillies'],"[u'\xa0', u'Scotland']",[u'8 November 1958'],[u'30 November 1968'],[u'508'],[u'201'],[u'123'],[u'184'],[u'39.57'],"[u'FA Cup', u' Runner-up ', u'1961', u'\n', u'FA Cup', u' Runner-up ', u'1963', u'\n', u'League Cup', u' Winner ', u'1964', u'\n', u'League Cup', u' Runner-up ', u'1965']"
"[u""Frank O'Farrell""]","[u'\xa0', u'Ireland']",[u'December 1968'],[u'6 June 1971'],[u'134'],[u'62'],[u'27'],[u'55'],[u'46.27'],"[u'FA Cup', u' Runner-up ', u'1969', u'\n', u'Second Division', u' Champion ', u'1970-71']"
[u'Jimmy Bloomfield'],"[u'\xa0', u'England']",[u'23 June 1971'],[u'23 May 1977'],[u'285'],[u'85'],[u'104'],[u'96'],[u'29.82'],[]
[u'Frank McLintock'],"[u'\xa0', u'Scotland']",[u'9 June 1977'],[u'5 April 1978'],[u'40'],[u'5'],[u'12'],[u'23'],[u'12.50'],[]
[u'Ian MacFarlane'],"[u'\xa0', u'Scotland']",[u'5 April 1978'],[u'24 May 1978'],[u'5'],[u'1'],[u'0'],[u'4'],[u'20.00'],[]
[u'Jock Wallace'],"[u'\xa0', u'Scotland']",[u'24 May 1978'],[u'12 July 1982'],[u'189'],[u'69'],[u'51'],[u'69'],[u'37.10'],"[u'Second Division', u' Champion ', u'1979-80']"
[u'Gordon Milne'],"[u'\xa0', u'England']",[u'2 August 1982'],[u'3 June 1986'],[u'184'],[u'64'],[u'41'],[u'79'],[u'34.78'],"[u'Promoted from ', u'Second Division', u' ', u'1982-83']"
"[u'Gordon Milne', u'\n', u'Bryan Hamilton']","[u'\xa0', u'England', u'\n', u'\xa0', u'Northern Ireland']",[u'June 1986'],[u'May 1987'],[u'46'],[u'13'],[u'9'],[u'24'],[u'28.26'],[]
[u'Bryan Hamilton'],"[u'\xa0', u'Northern Ireland']",[u'May 1987'],[u'11 December 1987'],[u'27'],[u'10'],[u'6'],[u'11'],[u'37.04'],[]
