Name,Nickname,Nationality,From,To,P,W,D,L,GF,GA,Win %,Honours and/or notes
"[u'Hopkinson Frederick', u'Frederick Hopkinson']",[],"[u'\xa0', u'England']",[u'1880'],[u'1882'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013']
[u'Unknown'],[],[],[u'1882'],[u'1884'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013']
"[u'Kitchen Edward', u'Edward Kitchen']",[],"[u'\xa0', u'England']",[u'1884'],[u'1887'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013']
"[u'Chew Walter', u'Walter Chew']",[],"[u'\xa0', u'England']",[u'1887'],[u'1889'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013'],[u'\u2013']
"[u'Furniss, Lawrence', u'Lawrence Furniss']",[],"[u'\xa0', u'England']",[u'August 1889'],[u'May 1893'],[u'26'],[u'10'],[u'4'],[u'12'],[u'59'],[u'46'],[u'38.46'],[u'\u2013']
"[u'Parlby, Joshua', u'Joshua Parlby']",[],"[u'\xa0', u'England']",[u'August 1893'],[u'May 1895'],[u'59'],[u'22'],[u'5'],[u'32'],[u'129'],[u'146'],[u'37.29'],[u'\u2013']
"[u'Omerod, Sam', u'Sam Omerod']","[u'""The Wizard of Longsight""']","[u'\xa0', u'England']",[u'August 1895'],[u'July 1902'],[u'240'],[u'111'],[u'50'],[u'79'],[u'433'],[u'354'],[u'46.25'],[u'\u2013']
"[u'Maley, Tom', u'Tom Maley']",[],"[u'\xa0', u'Scotland']",[u'July 1902'],[u'July 1906'],[u'150'],[u'89'],[u'22'],[u'39'],[u'322'],[u'179'],[u'59.33'],"[u'First non-English manager', u'\n', u'FA Cup 1904']"
"[u'Newbould, Harry', u'Harry Newbould']",[],"[u'\xa0', u'England']",[u'July 1906'],[u'July 1912'],[u'245'],[u'93'],[u'61'],[u'91'],[u'390'],[u'376'],[u'37.96'],[u'\u2013']
[u'Committee'],[],[],[u'July 1912'],[u'September 1912'],[u'2'],[u'2'],[u'0'],[u'0'],[u'2'],[u'0'],[u'100.00'],[u'\u2013']
"[u'Mangnall, Ernest', u'Ernest Mangnall']",[],"[u'\xa0', u'England']",[u'9 September 1912'],[u'June 1924'],[u'350'],[u'151'],[u'117'],[u'82'],[u'500'],[u'457'],[u'43.14'],[u'\u2013']
"[u'Ashworth, David', u'David Ashworth']",[],"[u'\xa0', u'England']",[u'July 1924'],[u'14 November 1925'],[u'59'],[u'20'],[u'13'],[u'26'],[u'113'],[u'121'],[u'33.90'],[u'\u2013']
"[u'Alexander, Albert', u'Albert Alexander', u' / Committee']",[],"[u'\xa0', u'England']",[u'16 November 1925'],[u'26 April 1926'],[u'31'],[u'13'],[u'8'],[u'10'],[u'80'],[u'56'],[u'41.94'],[u'\u2013']
"[u'Hodge, Peter', u'Peter Hodge']",[],"[u'\xa0', u'Scotland']",[u'26 April 1926'],[u'12 March 1932'],[u'261'],[u'122'],[u'59'],[u'80'],[u'579'],[u'447'],[u'46.74'],[u'-']
"[u'Wild, Wilf', u'Wilf Wild']",[],"[u'\xa0', u'England']",[u'14 March 1932'],[u'1 December 1946'],[u'352'],[u'158'],[u'71'],[u'123'],[u'703'],[u'562'],[u'44.89'],"[u'FA Cup 1934', u', ', u'First Division', u' champions ', u'1936\u201337']"
"[u'Cowan, Sam', u'Sam Cowan']",[],"[u'\xa0', u'England']",[u'2 December 1946'],[u'30 June 1947'],[u'30'],[u'20'],[u'6'],[u'4'],[u'53'],[u'27'],[u'66.67'],[u'-']
"[u'Wild, Wilf', u'Wilf Wild']",[],"[u'\xa0', u'England']",[u'August 1947'],[u'November 1947'],[u'16'],[u'5'],[u'5'],[u'6'],[u'20'],[u'18'],[u'31.25'],[u'\u2013']
"[u'Thomson, Jock', u'Jock Thomson']",[],"[u'\xa0', u'Scotland']",[u'November 1947'],[u'February 1950'],[u'115'],[u'35'],[u'35'],[u'45'],[u'122'],[u'156'],[u'30.43'],[u'\u2013']
"[u'McDowall, Les', u'Les McDowall']",[],"[u'\xa0', u'Scotland']",[u'June 1950'],[u'May 1963'],[u'592'],[u'220'],[u'127'],[u'245'],"[u'1,049']","[u'1,134']","[u'7001371609999999999\u2660', u'37.16']",[u'FA Cup 1956']
"[u'Poyser, George', u'George Poyser']",[],"[u'\xa0', u'England']",[u'12 July 1963'],[u'April 1965'],[u'89'],[u'38'],[u'17'],[u'34'],[u'159'],[u'137'],[u'42.70'],[u'\u2013']
[u'Committee'],[],[],[u'April 1965'],[u'May 1965'],[u'5'],[u'1'],[u'3'],[u'1'],[u'4'],[u'5'],[u'20.00'],[u'\u2013']
"[u'Mercer, Joe', u'Joe Mercer']",[],"[u'\xa0', u'England']",[u'13 July 1965'],[u'7 October 1971'],[u'340'],[u'149'],[u'94'],[u'97'],[u'518'],[u'358'],[u'43.82'],"[u'First Division', u' champions ', u'1967\u201368', u', ', u'FA Cup 1969', u', ', u'League Cup 1970', u', ', u""Cup Winners' Cup 1970""]"
"[u'Allison, Malcolm', u'Malcolm Allison']","[u'""Big Mal""']","[u'\xa0', u'England']",[u'7 October 1971'],[u'30 March 1973'],[u'78'],[u'32'],[u'21'],[u'25'],[u'119'],[u'106'],[u'41.03'],[u'\u2013']
"[u'Hart, Johnny', u'Johnny Hart']",[],"[u'\xa0', u'England']",[u'30 March 1973'],[u'22 October 1973'],[u'22'],[u'11'],[u'5'],[u'6'],[u'26'],[u'22'],[u'50.00'],[u'\u2013']
"[u'Book, Tony', u'Tony Book']","[u'""Skip""']","[u'\xa0', u'England']",[u'23 October 1973'],[u'22 November 1973'],[u'7'],[u'2'],[u'3'],[u'2'],[u'7'],[u'3'],[u'28.57'],[u'\u2013']
"[u'Saunders, Ron', u'Ron Saunders']",[],"[u'\xa0', u'England']",[u'22 November 1973'],[u'12 April 1974'],[u'29'],[u'10'],[u'9'],[u'10'],[u'38'],[u'33'],"[u'7001344809999999999\u2660', u'34.48']",[u'\u2013']
"[u'Book, Tony', u'Tony Book']","[u'""Skip""']","[u'\xa0', u'England']",[u'12 April 1974'],[u'July 1979'],[u'269'],[u'114'],[u'75'],[u'80'],[u'405'],[u'309'],[u'42.38'],[u'League Cup 1976']
"[u'Allison, Malcolm', u'Malcolm Allison']","[u'""Big Mal""']","[u'\xa0', u'England']",[u'16 July 1979'],[u'8 October 1980'],[u'60'],[u'15'],[u'20'],[u'25'],[u'63'],[u'95'],[u'25.00'],[u'\u2013']
"[u'Book, Tony', u'Tony Book']","[u'""Skip""']","[u'\xa0', u'England']",[u'9 October 1980'],[u'16 October 1980'],[u'1'],[u'0'],[u'0'],[u'1'],[u'1'],[u'3'],[u'0.00'],[u'\u2013']
"[u'Bond, John', u'John Bond']","[u'""007""']","[u'\xa0', u'England']",[u'17 October 1980'],[u'3 February 1983'],[u'123'],[u'51'],[u'32'],[u'40'],[u'171'],[u'152'],[u'41.46'],[u'\u2013']
