Name,Nationality,From,To,M,W,D,L,WinåÊ%,Honours,Refs
"Bowman, John","[u'\xa0', u'England']",[u'1 August 1905'],[u'31 July 1907'],[u'78'],[u'31'],[u'23'],[u'24'],[u'39.7'],[u'\u2013'],[u'\u2013']
"McEwen, James","[u'\xa0', u'Scotland']",[u'1 August 1907'],[u'31 May 1908'],[u'43'],[u'13'],[u'10'],[u'20'],[u'30.2'],[u'\u2013'],[u'\u2013']
"Turner, Arthur","[u'\xa0', u'England']",[u'1 August 1909'],[u'31 May 1910'],[u'86'],[u'27'],[u'22'],[u'37'],[u'31.4'],[u'\u2013'],[u'\u2013']
"Stansfield, Bert","[u'\xa0', u'England']",[u'1 August 1910'],[u'31 May 1915'],[u'248'],[u'78'],[u'75'],[u'95'],[u'31.5'],[u'\u2013'],[u'\u2013']
"Buckley, Frank","[u'\xa0', u'England']",[u'1 August 1919'],[u'1 July 1920'],[u'43'],[u'15'],[u'11'],[u'17'],[u'34.9'],[u'\u2013'],[u'\u2013']
"O'Hagan, Charles","[u'\xa0', u'England']",[u'1 July 1920'],[u'1 January 1921'],[u'21'],[u'4'],[u'9'],[u'8'],[u'19.0'],[u'\u2013'],[u'\u2013']
"Gosnell, Albert","[u'\xa0', u'England']",[u'1 January 1921'],[u'28 February 1926'],[u'223'],[u'59'],[u'79'],[u'95'],[u'26.5'],[u'\u2013'],[u'\u2013']
"Stansfield, Bert","[u'\xa0', u'England']",[u'1 March 1926'],[u'1 November 1926'],[u'26'],[u'8'],[u'8'],[u'10'],[u'30.8'],[],"[u'[', u'83', u']']"
"Potter, Cecil","[u'\xa0', u'England']",[u'1 November 1926'],[u'1 January 1929'],[u'101'],[u'30'],[u'26'],[u'45'],[u'29.7'],[u'\u2013'],[u'\u2013']
"Kerr, James","[u'\xa0', u'England']",[u'1 April 1929'],[u'28 February 1933'],[u'168'],[u'65'],[u'43'],[u'60'],[u'38.7'],[u'\u2013'],[u'\u2013']
"Parker, Tom","[u'\xa0', u'England']","[u'1 March 1933', u'\n1 May 1955']","[u'1 February 1937', u'\n31 March 1957']",[u'271'],[u'104'],[u'69'],[u'98'],[u'38.4'],"[u'Third tier', u' champions ', u'1933\u201334', u'[', u'84', u']']",[u'\u2013']
"Young, Bob","[u'\xa0', u'England']","[u'1 February 1937', u'\n1 September 1939']","[u'31 December 1938', u'\n31 May 1946']",[u'78'],[u'26'],[u'14'],[u'38'],[u'33.3'],[u'\u2013'],[u'\u2013']
"Jewell, Jimmy","[u'\xa0', u'England']",[u'1 January 1939'],[u'1 September 1939'],[u'20'],[u'6'],[u'4'],[u'10'],[u'30.0'],[u'\u2013'],[u'\u2013']
"Lochhead, Duggie","[u'\xa0', u'Scotland']",[u'1 December 1945'],[u'1 March 1950'],[u'104'],[u'42'],[u'28'],[u'34'],[u'40.4'],[u'\u2013'],[u'\u2013']
"Spiers, Cyril","[u'\xa0', u'England']",[u'1 June 1946'],[u'1 December 1947'],[u'65'],[u'15'],[u'12'],[u'38'],[u'23.1'],[u'\u2013'],[u'\u2013']
"Low, Norman","[u'\xa0', u'England']",[u'1 May 1950'],[u'30 April 1955'],[u'258'],[u'129'],[u'56'],[u'73'],[u'50.0'],[u'\u2013'],[u'\u2013']
"Macaulay, Archie","[u'\xa0', u'Scotland']",[u'1 April 1957'],[u'1 October 1961'],[u'224'],[u'105'],[u'60'],[u'59'],[u'46.9'],"[u'Third tier', u' runners-up ', u'1959\u201360', u'[', u'85', u']']",[u'\u2013']
"Reid, Willie","[u'\xa0', u'Scotland']",[u'1 December 1961'],[u'1 May 1962'],[u'31'],[u'13'],[u'6'],[u'12'],[u'41.9'],"[u'League Cup', u' champions ', u'1961\u201362', u'[', u'85', u']']",[u'\u2013']
"Swindin, George","[u'\xa0', u'England']",[u'1 May 1962'],[u'30 November 1962'],[u'20'],[u'10'],[u'5'],[u'5'],[u'50.0'],[u'\u2013'],[u'\u2013']
"Ashman, Ron","[u'\xa0', u'England']",[u'1 December 1962'],[u'31 May 1966'],[u'162'],[u'59'],[u'39'],[u'64'],[u'36.4'],[u'\u2013'],[u'\u2013']
"Morgan, Lol","[u'\xa0', u'England']",[u'1 June 1966'],[u'1 May 1969'],[u'127'],[u'45'],[u'47'],[u'35'],[u'35.4'],[u'\u2013'],[u'\u2013']
"Saunders, Ron","[u'\xa0', u'England']",[u'1 July 1969'],[u'16 November 1973'],[u'221'],[u'84'],[u'61'],[u'76'],[u'38.0'],"[u'Second tier', u' champions ', u'1971\u201372', u'[', u'86', u']', u'\n', u'League Cup', u' runners-up ', u'1972\u201373', u'[', u'86', u']']",[u'\u2013']
"Bond, John","[u'\xa0', u'England']",[u'27 November 1973'],[u'14 October 1980'],[u'340'],[u'105'],[u'114'],[u'121'],[u'34.5'],"[u'League Cup', u' runners-up ', u'1974\u201375', u'[', u'86', u']']",[u'\u2013']
"Brown, Ken","[u'\xa0', u'England']",[u'16 October 1980'],[u'9 November 1987'],[u'367'],[u'150'],[u'93'],[u'124'],[u'40.9'],"[u'League Cup', u' champions ', u'1984\u201385', u'[', u'86', u']', u'\n', u'Second tier', u' champions ', u'1985\u201386', u'[', u'87', u']']",[u'\u2013']
"Stringer, Dave","[u'\xa0', u'England']",[u'9 November 1987'],[u'1 May 1992'],[u'229'],[u'89'],[u'58'],[u'82'],[u'38.9'],[u'\u2013'],[u'\u2013']
"Williams, David","[u'\xa0', u'Wales']",[u'1 May 1992'],[u'1 June 1992'],[u'1'],[u'0'],[u'0'],[u'1'],[u'00.0'],[u'\u2013'],[u'\u2013']
"Walker, Mike","[u'\xa0', u'Wales']",[u'1 June 1992'],[u'6 January 1994'],[u'80'],[u'36'],[u'20'],[u'24'],[u'45.0'],[u'\u2013'],"[u'[', u'88', u']']"
"Deehan, John","[u'\xa0', u'England']",[u'12 January 1994'],"[u'9 April 1995', u'[', u'89', u']']",[u'58'],[u'13'],[u'22'],[u'23'],[u'22.4'],[u'\u2013'],[u'\u2013']
"Megson, Gary","[u'\xa0', u'England']",[u'9 April 1995'],[u'14 June 1995'],[u'5'],[u'0'],[u'1'],[u'4'],[u'00.00'],[u'\u2013'],[u'\u2013']
"O'Neill, Martin","[u'\xa0', u'Northern Ireland']","[u'14 June 1995', u'[', u'90', u']']","[u'17 December 1995', u'[', u'91', u']']",[u'26'],[u'12'],[u'9'],[u'5'],[u'46.2'],[u'\u2013'],[u'\u2013']
"Franklin, Paul","[u'\xa0', u'England']",[u'17 December 1995'],[u'20 December 1995'],[u'1'],[u'0'],[u'0'],[u'1'],[u'00.0'],[u'\u2013'],[u'\u2013']
