Name,Nationality,From,To,M,W,D,L,Win %,Honours,Notes
[u'\u2013'],[],[u'November 1879'],[u'August 1889'],[u'12'],[u'8'],[u'1'],[u'3'],[u'66.7'],[],"[u'[', u'26', u']']"
"[u'Watson, Tom', u'Tom Watson']","[u'\xa0', u'England']",[u'August 1889'],[u'August 1896'],[u'191'],[u'119'],[u'28'],[u'44'],[u'62.3'],"[u'Football League First Division', u' champions ', u'1891\u201392', u', ', u'1892\u201393', u', ', u'1894\u201395']","[u'[', u'27', u']']"
"[u'Campbell, Robert', u'Robert Campbell']","[u'\xa0', u'Scotland']",[u'August 1896'],[u'April 1899'],[u'103'],[u'41'],[u'22'],[u'40'],[u'39.8'],[],"[u'[', u'28', u']']"
"[u'Mackie, Alex', u'Alex Mackie']","[u'\xa0', u'Scotland']",[u'August 1899'],[u'April 1905'],[u'214'],[u'104'],[u'46'],[u'64'],[u'48.6'],"[u'Football League First Division', u' champions ', u'1901\u201302', u', ', u'Sheriff of London Charity Shield', u' champions ', u'1902\u201303']","[u'[', u'29', u']']"
"[u'Kyle, Bob', u'Bob Kyle']","[u'\xa0', u'Ireland']",[u'August 1905'],[u'May 1928'],[u'817'],[u'371'],[u'155'],[u'291'],[u'45.4'],"[u'Football League First Division', u' champions ', u'1912\u201313']","[u'[', u'30', u']']"
"[u'Cochrane, Johnny', u'Johnny Cochrane']","[u'\xa0', u'Scotland']",[u'June 1928'],[u'March 1939'],[u'500'],[u'212'],[u'122'],[u'166'],[u'42.4'],"[u'Football League First Division', u' champions ', u'1935\u201336', u', ', u'FA Cup', u' winners ', u'1936\u201337']","[u'[', u'31', u']']"
[u'\u2013'],[],[u'March 1939'],[u'March 1939'],[u'5'],[u'2'],[u'0'],[u'3'],[u'40.0'],[],"[u'[', u'26', u']']"
"[u'Murray, Bill', u'Bill Murray']","[u'\xa0', u'Scotland']",[u'April 1939'],[u'June 1957'],[u'512'],[u'186'],[u'140'],[u'186'],[u'36.3'],[],"[u'[', u'32', u']']"
"[u'Brown, Alan', u'Alan Brown']","[u'\xa0', u'England']",[u'August 1957'],[u'July 1964'],[u'332'],[u'138'],[u'88'],[u'106'],[u'41.6'],[],"[u'[', u'33', u']']"
[u'\u2013'],[],[u'August 1964'],[u'November 1964'],[u'18'],[u'3'],[u'6'],[u'9'],[u'16.7'],[],"[u'[', u'26', u']']"
"[u'Hardwick, George', u'George Hardwick', u' (caretaker)']","[u'\xa0', u'England']",[u'November 1964'],[u'April 1965'],[u'29'],[u'14'],[u'3'],[u'12'],[u'48.3'],[],"[u'[', u'34', u']']"
"[u'McColl, Ian', u'Ian McColl']","[u'\xa0', u'Scotland']",[u'August 1965'],[u'February 1968'],[u'124'],[u'39'],[u'27'],[u'58'],[u'31.5'],[],"[u'[', u'35', u']']"
"[u'Brown, Alan', u'Alan Brown']","[u'\xa0', u'England']",[u'February 1968'],[u'November 1972'],[u'219'],[u'63'],[u'68'],[u'88'],[u'28.8'],[],"[u'[', u'33', u']']"
"[u'Elliott, Billy', u'Billy Elliott', u' (caretaker)']","[u'\xa0', u'England']",[u'November 1972'],[u'November 1972'],[u'4'],[u'0'],[u'2'],[u'2'],"[u'0', u'0.0']",[],"[u'[', u'36', u']']"
"[u'Stokoe, Bob', u'Bob Stokoe']","[u'\xa0', u'England']",[u'23 November 1972'],[u'18 October 1976'],[u'197'],[u'92'],[u'49'],[u'56'],[u'46.7'],"[u'FA Cup', u' winners ', u'1972\u201373', u', ', u'Football League Second Division', u' champions ', u'1975\u201376']","[u'[', u'37', u']']"
"[u'MacFarlane, Ian', u'Ian MacFarlane', u' (caretaker)']","[u'\xa0', u'Scotland']",[u'18 October 1976'],[u'1 December 1976'],[u'7'],[u'2'],[u'1'],[u'4'],[u'28.6'],[],"[u'[', u'38', u']']"
"[u'Adamson, Jimmy', u'Jimmy Adamson']","[u'\xa0', u'England']",[u'1 December 1976'],[u'25 October 1978'],[u'88'],[u'29'],[u'28'],[u'31'],[u'33.0'],[],"[u'[', u'39', u']']"
"[u'Merrington, David', u'David Merrington', u' (caretaker)']","[u'\xa0', u'England']",[u'25 October 1978'],[u'13 December 1978'],[u'8'],[u'4'],[u'2'],[u'2'],[u'50.0'],[],"[u'[', u'40', u']']"
"[u'Elliott, Billy', u'Billy Elliott']","[u'\xa0', u'England']",[u'13 December 1978'],[u'24 May 1979'],[u'26'],[u'14'],[u'7'],[u'5'],[u'53.8'],[],"[u'[', u'36', u']']"
"[u'Knighton, Ken', u'Ken Knighton']","[u'\xa0', u'England']",[u'7 June 1979'],[u'1 April 1981'],[u'94'],[u'34'],[u'25'],[u'35'],[u'36.2'],[],"[u'[', u'41', u']']"
