Picture,Name,Nationality,From,To,Time in Charge,P,W,D,L,Win%,Honours,Ref.
[],"[u'Whittaker, Walter', u'Walter Whittaker']","[u'\xa0', u'England']",[u'1 August 1912'],[u'31 May 1914'],"[u'1\xa0year, 303\xa0days']",[u'2'],[u'1'],[u'0'],[u'1'],[u'50.00'],"[u'1 ', u'Welsh Cup']","[u'[', u'1', u']']"
[],[u'William Bartlett'],"[u'\xa0', u'England']",[u'1 August 1914'],[u'31 May 1915'],[u'303\xa0days'],[u'3'],[u'1'],[u'1'],[u'1'],[u'33.33'],[],"[u'[', u'2', u']']"
[],"[u'Bradshaw, Joe', u'Joe Bradshaw']","[u'\xa0', u'England']",[u'1 August 1919'],[u'1 May 1926'],"[u'6\xa0years, 273\xa0days']",[u'272'],[u'128'],[u'73'],[u'71'],[u'47.06'],"[u'1 ', u'Third Division South Championship']","[u'[', u'3', u']']"
[],[u'Jimmy Thomson'],"[u'\xa0', u'England']",[u'1 February 1927'],[u'31 May 1931'],"[u'4\xa0years, 119\xa0days']",[u'193'],[u'63'],[u'46'],[u'84'],[u'32.64'],[],"[u'[', u'4', u']']"
[],"[u'Harris, Neil', u'Neil Harris']","[u'\xa0', u'Scotland']",[u'1 July 1934'],[u'1 May 1939'],"[u'4\xa0years, 304\xa0days']",[u'218'],[u'71'],[u'49'],[u'98'],[u'32.57'],[],"[u'[', u'5', u']']"
[],"[u'Green, Haydn', u'Haydn Green']","[u'\xa0', u'England']",[u'1 May 1939'],[u'1 September 1947'],"[u'8\xa0years, 123\xa0days']",[u'50'],[u'13'],[u'9'],[u'28'],[u'26.00'],[],"[u'[', u'6', u']']"
[],"[u'McCandless, Billy', u'Billy McCandless']","[u'\xa0', u'Northern Ireland']",[u'1 November 1948'],[u'1 July 1955'],"[u'6\xa0years, 242\xa0days']",[u'294'],[u'113'],[u'61'],[u'120'],[u'38.44'],"[u'1 ', u'Third Division South Championship', u', 1 ', u'Welsh Cup']","[u'[', u'7', u']']"
[],"[u'Burgess, Ronnie', u'Ronnie Burgess']","[u'\xa0', u'Wales']",[u'1 July 1955'],[u'1 August 1958'],"[u'3\xa0years, 31\xa0days']",[u'129'],[u'50'],[u'22'],[u'57'],[u'38.76'],[],"[u'[', u'8', u']']"
[],"[u'Morris, Trevor', u'Trevor Morris']","[u'\xa0', u'Wales']",[u'1 August 1958'],[u'31 May 1965'],"[u'6\xa0years, 303\xa0days']",[u'327'],[u'112'],[u'77'],[u'138'],[u'34.25'],"[u'1 ', u'Welsh Cup']","[u'[', u'9', u']']"
[],"[u'Davies, Glyn', u'Glyn Davies']","[u'\xa0', u'Wales']",[u'1 June 1965'],[u'1 October 1966'],"[u'1\xa0year, 122\xa0days']",[u'58'],[u'16'],[u'15'],[u'27'],[u'27.59'],"[u'1 ', u'Welsh Cup']","[u'[', u'10', u']']"
