Name,Nationality,From,To,P,W,D,L,Win %,Honours,Notes
"[u'Ford, Louis', u'Louis Ford']","[u'\xa0', u'England']",[u'1 August 1890'],[u'31 May 1892'],[u'58'],[u'18'],[u'10'],[u'30'],[u'31.03'],"[u'FA Cup', u' winners ', u'1892']","[u'[', u'2', u']']"
"[u'Jackson, Henry', u'Henry Jackson']","[u'\xa0', u'England']",[u'1 August 1892'],[u'31 May 1894'],[u'62'],[u'26'],[u'9'],[u'27'],[u'41.94'],[],"[u'[', u'2', u']']"
"[u'Stephenson, Edward', u'Edward Stephenson']","[u'\xa0', u'England']",[u'1 August 1894'],[u'31 May 1895'],[u'36'],[u'14'],[u'5'],[u'17'],[u'38.89'],"[u'FA Cup runners-up ', u'1895']","[u'[', u'2', u']']"
"[u'Keys, Clement', u'Clement Keys']","[u'\xa0', u'England']",[u'1 August 1895'],[u'31 May 1896'],[u'38'],[u'10'],[u'9'],[u'19'],[u'26.32'],[],"[u'[', u'2', u']']"
"[u'Heaven, Frank', u'Frank Heaven']","[u'\xa0', u'England']",[u'1 August 1896'],[u'1 August 1902'],[u'214'],[u'86'],[u'45'],[u'83'],[u'40.19'],"[u'Division Two', u' winners ', u'1901\u201302']","[u'[', u'2', u']']"
"[u'Everiss, Fred', u'Fred Everiss']","[u'\xa0', u'England']",[u'1 August 1902'],[u'31 May 1948'],[u'1520'],[u'656'],[u'331'],[u'533'],[u'43.16'],"[u'Division Two winners ', u'1910\u201311', u', FA Cup runners-up ', u'1912', u', ', u'1935', u', ', u'Division One', u' winners ', u'1919\u201320', u', Division One runners-up ', u'1924\u201325', u', Division Two runners-up ', u'1930\u201331', u', FA Cup winners ', u'1931']","[u'[', u'2', u']', u'[', u'3', u']']"
"[u'Smith, Jack', u'Jack Smith']","[u'\xa0', u'Wales']",[u'1 July 1948'],[u'30 April 1952'],[u'179'],[u'70'],[u'46'],[u'63'],[u'39.11'],"[u'Division Two runners-up ', u'1948\u201349']","[u'[', u'4', u']']"
"[u'Carver, Jesse', u'Jesse Carver']","[u'\xa0', u'England']",[u'1 May 1952'],[u'1 February 1953'],[u'29'],[u'16'],[u'4'],[u'9'],[u'55.17'],[],[]
"[u'Buckingham, Vic', u'Vic Buckingham']","[u'\xa0', u'England']",[u'1 February 1953'],[u'31 May 1959'],[u'301'],[u'130'],[u'78'],[u'93'],[u'43.19'],"[u'Division One runners-up ', u'1953\u201354', u', FA Cup winners ', u'1954']","[u'[', u'5', u']']"
"[u'Clark, Gordon', u'Gordon Clark']","[u'\xa0', u'England']",[u'1 June 1959'],[u'1 October 1961'],[u'99'],[u'42'],[u'18'],[u'39'],[u'42.42'],[],[]
"[u'Macaulay, Archie', u'Archie Macaulay']","[u'\xa0', u'Scotland']",[u'1 October 1961'],[u'1 April 1963'],[u'67'],[u'26'],[u'18'],[u'23'],[u'38.81'],[],[]
"[u'Hagan, Jimmy', u'Jimmy Hagan']","[u'\xa0', u'England']",[u'1 April 1963'],[u'31 May 1967'],[u'201'],[u'78'],[u'49'],[u'74'],[u'38.81'],"[u'League Cup', u' winners ', u'1966', u', League Cup runners-up ', u'1967']",[]
"[u'Ashman, Alan', u'Alan Ashman']","[u'\xa0', u'England']",[u'1 June 1967'],[u'1 June 1971'],[u'182'],[u'64'],[u'49'],[u'69'],[u'35.16'],"[u'FA Cup winners ', u'1968', u', League Cup runners-up ', u'1970']",[]
"[u'Howe, Don', u'Don Howe']","[u'\xa0', u'England']",[u'8 July 1971'],[u'7 April 1975'],[u'165'],[u'52'],[u'46'],[u'67'],[u'31.52'],[],[]
"[u'Whitehouse, Brian', u'Brian Whitehouse']","[u'\xa0', u'England']",[u'7 April 1975'],[u'14 June 1975'],[u'3'],[u'2'],[u'0'],[u'1'],[u'66.67'],[],"[u'[', u'6', u']', u'[', u'7', u']']"
"[u'Giles, Johnny', u'Johnny Giles']","[u'\xa0', u'Ireland']",[u'5 July 1975'],[u'21 May 1977'],[u'85'],[u'36'],[u'27'],[u'22'],[u'42.35'],[],"[u'[', u'8', u']']"
"[u'Allen, Ronnie', u'Ronnie Allen']","[u'\xa0', u'England']",[u'21 June 1977'],[u'22 December 1977'],[u'20'],[u'9'],[u'7'],[u'4'],[u'45.00'],[],[]
"[u'Wile, John', u'John Wile']","[u'\xa0', u'England']",[u'23 December 1977'],[u'11 January 1978'],[u'4'],[u'1'],[u'1'],[u'2'],[u'25.00'],[],"[u'[', u'6', u']', u'[', u'8', u']', u'[', u'9', u']', u'[', u'10', u']']"
